Country,CO2,Population,Happiness,Code,Year,Life Expectancy,SPM,Percentage of all deaths caused by air pollution
North Korea,4966052271.0,25867467.0,5146832099969.799,PRK,2019.0,73.2,1.24,22.83
Norway,2585216441.0,5379839.0,362000000000.0,NOR,2019.0,83.0,1.36,1.1
Oman,1071493410.0,4543399.0,5146832099969.799,OMN,2019.0,78.0,0.95,14.16
Pakistan,4360589827.0,227196741.0,263000000000.0,PAK,2019.0,66.8,1.18,16.88
Palau,11012245.0,17972.0,5146832099969.799,PLW,2019.0,64.8,1.23,1.99
Palestine,48304340.0,5019401.0,5146832099969.799,PSE,2019.0,75.2,0.75,11.57
Panama,270033082.0,4294396.0,53977036995.0,PAN,2019.0,77.8,1.0,4.18
Papua New Guinea,152482152.0,9749640.0,24668899683.0,PNG,2019.0,65.5,0.41,20.03
Paraguay,150098368.0,6618695.0,5146832099969.799,PRY,2019.0,73.6,1.25,6.91
Peru,1857299524.0,33304756.0,202000000000.0,PER,2019.0,76.2,0.67,7.54
Philippines,2959759692.0,112190977.0,361000000000.0,PHL,2019.0,71.9,0.71,12.1
Poland,26848816401.0,38428366.0,5146832099969.799,POL,2019.0,77.9,1.62,7.43
Portugal,2476694776.0,10298192.0,229000000000.0,PRT,2019.0,81.7,1.17,2.0
Qatar,1878554596.0,2760385.0,5146832099969.799,QAT,2019.0,81.0,2.97,14.97
Romania,8323783409.0,19442038.0,5146832099969.799,ROU,2019.0,76.5,0.83,6.32
Russia,101000000000.0,145617329.0,5146832099969.799,RUS,2019.0,73.9,2.18,4.11
Rwanda,25185419.0,13146362.0,10333991456.0,RWA,2019.0,66.4,1.1,15.07
Saint Kitts and Nevis,5660325.0,47642.0,5146832099969.799,KNA,2019.0,71.6,0.45,2.32
Saint Lucia,12036657.0,179237.0,5146832099969.799,LCA,2019.0,73.4,0.96,5.91
Saint Vincent and the Grenadines,6228123.0,104632.0,5146832099969.799,VCT,2019.0,72.8,0.8,6.29
Samoa,6445614.0,214929.0,5146832099969.799,WSM,2019.0,72.2,1.85,13.33
Sao Tome and Principe,2954820.0,218641.0,5146832099969.799,STP,2019.0,68.5,0.41,14.9
Saudi Arabia,13843097583.0,35997107.0,5146832099969.799,SAU,2019.0,77.3,1.39,14.75
Senegal,203710385.0,16436119.0,24644234595.0,SEN,2019.0,68.5,1.25,14.77
Serbia,2381789224.0,7358005.0,5146832099969.799,SRB,2019.0,76.7,1.3,10.14
Seychelles,14863511.0,105530.0,1059886364.0,SYC,2019.0,74.2,1.1,4.41
Sierra Leone,35859969.0,8233969.0,4063289450.0,SLE,2019.0,60.3,0.7,15.47
Singapore,1936584508.0,5909869.0,340000000000.0,SGP,2019.0,83.8,2.0,5.8
Slovakia,2730069466.0,5456681.0,5146832099969.799,SVK,2019.0,77.7,1.27,6.32
Slovenia,756184328.0,2117641.0,5146832099969.799,SVN,2019.0,81.6,1.97,4.44
Solomon Islands,7165127.0,691191.0,5146832099969.799,SLB,2019.0,70.4,2.31,22.54
